PeakID (cmd=annotatePeaks.pl /Volumes/Bioinfo_Ext/16185R/Analysis/Diffbind/practice.txt dm6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
X.18605464.18605866	chrX	18605464	18605866	+	78.6408499582384	0.097436717738987	TTS (NM_133083)	TTS (NM_133083)	11924	NM_133083	32848		NM_133083		CG15040	Dmel\CG15040	uncharacterized protein	protein-coding
2L.1394910.1395310	chr2L	1394910	1395310	+	78.6254568062835	-0.088439686376535	intron (NM_080531, intron 3 of 13)	intron (NM_080531, intron 3 of 13)	-13784	NR_124018	19835193		NR_124018		CR44898	Dmel\CR44898	ncRNA	ncRNA
3R.6409174.6409501	chr3R	6409174	6409501	+	78.6087862046909	-0.720769487753375	non-coding (NR_073986, exon 1 of 1)	non-coding (NR_073986, exon 1 of 1)	241	NR_073986	14462439		NR_073986		CR44017	Dmel\CR44017	ncRNA	ncRNA
3L.353896.354249	chr3L	353896	354249	+	78.6040709425136	-0.648062011493317	exon (NM_001169839, exon 7 of 10)	exon (NM_001169839, exon 7 of 10)	-2350	NM_138188	38060	Dm.14959	NM_138188		CG1231	Dmel\CG1231	CG1231	protein-coding
2L.10854003.10854289	chr2L	10854003	10854289	+	78.5073167495275	-0.619599902467758	TTS (NM_058101)	TTS (NM_058101)	1635	NM_135620	34502	Dm.23198	NM_135620		SmydA-3	CG17085|CG17086|CG43129|Dmel\CG43129|Dmel_CG17085|Dmel_CG17086	SET and MYND domain containing, arthropod-specific, member 3	protein-coding
3R.14754681.14754955	chr3R	14754681	14754955	+	78.494546427354	-0.718408012985586	promoter-TSS (NM_142131)	promoter-TSS (NM_142131)	-358	NM_142131	41787	Dm.29782	NM_142131		CG7362	Dmel\CG7362	CG7362	protein-coding
3R.19899262.19899879	chr3R	19899262	19899879	+	78.4913715187195	-0.472594773239574	TTS (NM_142585)	TTS (NM_142585)	3665	NM_142586	42369	Dm.2399	NM_142586		CG4538	ClpX|Dmel\CG4538	CG4538	protein-coding
3L.1650533.1650969	chr3L	1650533	1650969	+	78.4160307711477	-0.31486349875385	TTS (NM_139383)	TTS (NM_139383)	-1052	NR_133153	26067145		NR_133153		CR45815	Dmel\CR45815	ncRNA	ncRNA
3R.6668062.6668550	chr3R	6668062	6668550	+	78.4123117085762	-0.290424278476754	intron (NM_057265, intron 1 of 2)	intron (NM_057265, intron 1 of 2)	-4852	NM_001260024	40817	Dm.4752	NM_057265		lab	BG:DS00004.9|CG1264|Dm lab|DmLab|Dmel\CG1264|Dmlab|EfR9|F121|F24|F90|F90-2|LAB|Lab|l(3)01241|l(3)84Ac|lb	labial	protein-coding
3R.9566256.9566511	chr3R	9566256	9566511	+	78.4065845695895	-0.314022480470648	TTS (NM_141652)	TTS (NM_141652)	188	NM_001275494	41154	Dm.12888	NM_141653		CG16789	Dmel\CG16789	uncharacterized protein	protein-coding
3L.6483236.6483645	chr3L	6483236	6483645	+	78.3666111548693	0.00200846652335324	intron (NM_139788, intron 5 of 6)	intron (NM_139788, intron 5 of 6)	4984	NM_139789	38733	Dm.23981	NM_139789		CG10147	Dmel\CG10147	uncharacterized protein	protein-coding
2R.13490664.13491036	chr2R	13490664	13491036	+	78.3222301676158	-0.550793998298483	exon (NM_165993, exon 4 of 6)	exon (NM_165993, exon 4 of 6)	4012	NM_001274026	36496	Dm.1930	NM_137033		bbc	Bbc|CG6016|Dmel\CG6016|cept|dCCS2	bb in a boxcar	protein-coding
3L.2391143.2391409	chr3L	2391143	2391409	+	78.2958133549042	-0.433123416472112	promoter-TSS (NM_001144402)	promoter-TSS (NM_001144402)	-287	NM_001144402	317964	Dm.6266	NM_167946		CG32299	BcDNA:AT26229|Dmel\CG32299|NEST:bs19a11	uncharacterized protein	protein-coding
3L.15635945.15636500	chr3L	15635945	15636500	+	78.2866652029358	-0.164192635390898	intron (NM_140534, intron 1 of 1)	intron (NM_140534, intron 1 of 1)	-1732	NM_001300143	39696	Dm.22276	NM_140534		comm3	CG13446|CG13447|CG13448|CG33209|CG42334|Dmel\CG42334|Dmel_CG13446|Dmel_CG33209	comm3	protein-coding
3R.12637972.12638383	chr3R	12637972	12638383	+	78.2692563135547	-0.346482434605841	promoter-TSS (NM_141961)	promoter-TSS (NM_141961)	-304	NM_141961	41556		NM_141961		CG11608	Dmel\CG11608	uncharacterized protein	protein-coding
3L.12590663.12591114	chr3L	12590663	12591114	+	78.2231878646365	-0.582368620612625	intron (NM_001169961, intron 3 of 4)	CpG	10216	NM_001169961	39439	Dm.2892	NM_079321		ara	Ara|CG10571|Dmel\CG10571|IRO-C|Iro|Iro-C|IroC|iro|iro-C	araucan	protein-coding
3R.4768921.4768954	chr3R	4768921	4768954	+	78.2047159353778	-2.80982444060242	promoter-TSS (NM_001300231)	promoter-TSS (NM_001300231)	-147	NM_001300231	40590	Dm.6831	NM_169018		CG44098	CG12588|CG14654|CG31530|CG9767|Dmel\CG44098|Dmel_CG14654|Dmel_CG31530	uncharacterized protein	protein-coding
3R.32029263.32029403	chr3R	32029263	32029403	+	78.1956169267919	-0.500926405394779	Intergenic	Intergenic	-8997	NM_001300703	43762	Dm.16259	NM_143647		CG2053	Dmel\CG2053	CG2053	protein-coding
3R.14703820.14704092	chr3R	14703820	14704092	+	78.1046043857397	-0.354629143278617	intron (NM_001300400, intron 1 of 8)	intron (NM_001300400, intron 1 of 8)	-6664	NM_001032403	3772109	Dm.11236	NM_001032403		Meltrin	CG31314|CG31385|CG7649|CT23341|DMeltrin|Dmel\CG7649|FBgn0051314|Neu3|meltrin	meltrin	protein-coding
3R.14323568.14323879	chr3R	14323568	14323879	+	78.0959264538977	-0.703127189356085	intron (NM_001260172, intron 3 of 3)	intron (NM_001260172, intron 3 of 3)	2966	NM_142098	41744	Dm.18763	NM_142098		Afti	CG8538|Dmel\CG8538|dAfti	Aftiphilin	protein-coding
2L.16502741.16502940	chr2L	16502741	16502940	+	78.0949862779553	-0.637945075703433	intron (NM_001273571, intron 1 of 3)	intron (NM_001273571, intron 1 of 3)	922	NM_001273571	34984	Dm.7822	NM_078860		Tpr2	BEST:LD24941|CG4599|Dmel\CG4599|EU3220|TPR2|Tpr-2|Trp2|dTPR2|dTpr2|dtpr2|dtrpr2|tpr2	Tetratricopeptide repeat protein 2	protein-coding
2R.15812822.15813078	chr2R	15812822	15813078	+	78.0615395614233	-0.829261513115676	intron (NM_145757, intron 1 of 15)	intron (NM_145757, intron 1 of 15)	1967	NM_137214	36740	Dm.22165	NM_137214		Zasp52	CG12968|CG12969|CG30084|CG8242|Dmel\CG30084|Z(210)|ZASP52|Zasp|Zbp210|dzasp|tun|tungus|zasp|zasp52	Z band alternatively spliced PDZ-motif protein 52	protein-coding
3R.22616287.22616684	chr3R	22616287	22616684	+	78.0176132220801	-0.58320684297531	promoter-TSS (NM_170029)	promoter-TSS (NM_170029)	-26	NM_170029	326123	Dm.7791	NM_170029		CG31161	CG6943|Dmel\CG31161	uncharacterized protein	protein-coding
2L.7432131.7432581	chr2L	7432131	7432581	+	77.9892979339173	-0.313035462033713	intron (NM_135275, intron 2 of 3)	intron (NM_135275, intron 2 of 3)	1160	NM_135275	34022	Dm.6048	NM_135275		CG5958	Dmel\CG5958	CG5958	protein-coding
X.12894335.12894678	chrX	12894335	12894678	+	77.9762865604555	-0.54561498640604	intron (NM_132606, intron 1 of 9)	(GAACA)n|Simple_repeat|Simple_repeat	2821	NM_167340	32233	Dm.17481	NM_132606		Pde9	CG1627|CG32648|CG3754|CG3761|CG3765|CG42276|Dmel\CG42276|Dmel_CG32648|Dmel_CG3754|PDE9	Phosphodiesterase 9	protein-coding
2R.12483918.12484293	chr2R	12483918	12484293	+	77.9620997550477	-0.6583592589063	intron (NM_136945, intron 2 of 10)	intron (NM_136945, intron 2 of 10)	3273	NM_001103819	5740861	Dm.34626	NM_001103819		CG34234	Dmel\CG34234	uncharacterized protein	protein-coding
3L.9721434.9721830	chr3L	9721434	9721830	+	77.9217552858474	-0.28412950706908	exon (NM_143716, exon 3 of 4)	exon (NM_143716, exon 3 of 4)	1562	NM_001259773	44259	Dm.1431	NM_143716		nbs	6754|CG6754|Dmel\CG6754|Dnbs1|NBS|NBS1|Nbs|Nbs1|l(3)67BDp|l(3)67BDr|l(3)e77A1	nbs	protein-coding
X.16961172.16961626	chrX	16961172	16961626	+	77.9175600495151	-0.402429009954013	exon (NM_132956, exon 7 of 11)	exon (NM_132956, exon 7 of 11)	7280	NM_001298427	32687	Dm.7014	NM_132956		Ubr1	CG9086|Dmel\CG9086|UBR1|ubr1	Ubr1 ubiquitin ligase	protein-coding
3L.6491593.6491884	chr3L	6491593	6491884	+	77.8809049949629	-0.311286861129239	TTS (NM_139790)	TTS (NM_139790)	3057	NM_139790	38734	Dm.15549	NM_139790		CG8270	Dmel\CG8270	CG8270	protein-coding
X.11993332.11993725	chrX	11993332	11993725	+	77.8752715710779	-0.772159139329248	promoter-TSS (NM_132544)	promoter-TSS (NM_132544)	-760	NM_132544	32161	Dm.11870	NM_132544		CG18130	Dmel\CG18130	uncharacterized protein	protein-coding
3L.853362.853526	chr3L	853362	853526	+	77.8273139733122	0.0244482517286331	TTS (NM_138221)	TTS (NM_138221)	2098	NM_138221	38100	Dm.11220	NM_138221		CG13890	DCI|Dmel\CG13890	uncharacterized protein	protein-coding
X.19517718.19517956	chrX	19517718	19517956	+	77.7955819423626	-0.136272779212988	TTS (NM_167657)	TTS (NM_167657)	3967	NM_001272776	32940	Dm.222	NM_133160		l(1)G0156	CG12233|Dmel\CG12233|FBgn0031024|l (1) G0156	lethal (1) G0156	protein-coding
X.5788623.5789069	chrX	5788623	5789069	+	77.791437351425	-0.560504248814889	promoter-TSS (NM_132036)	promoter-TSS (NM_132036)	-641	NM_132036	31508	Dm.13297	NM_132036		CG15767	Dmel\CG15767	uncharacterized protein	protein-coding
X.5932919.5933317	chrX	5932919	5933317	+	77.7773979553698	1.30076141301363	intron (NM_001297988, intron 1 of 6)	intron (NM_001297988, intron 1 of 6)	-9488	NM_132052	31526	Dm.23139	NM_132052		CG12728	Dmel\CG12728|XRCC4	uncharacterized protein	protein-coding
3L.1571858.1572193	chr3L	1571858	1572193	+	77.7522033665924	-0.898453039985563	exon (NM_001104004, exon 2 of 8)	exon (NM_001104004, exon 2 of 8)	124	NM_167897	38185	Dm.813	NM_139370		CG12004	Dmel\CG12004|anon-EST:fe3A8	uncharacterized protein	protein-coding
3R.19046850.19047379	chr3R	19046850	19047379	+	77.7340611321808	-1.70393244563696	exon (NM_079677, exon 8 of 8)	exon (NM_079677, exon 8 of 8)	-10906	NR_133418	26067360		NR_133418		CR46041	Dmel\CR46041	ncRNA	ncRNA
3R.23326909.23327303	chr3R	23326909	23327303	+	77.7299952620634	0.0301070111966425	intron (NM_079737, intron 3 of 8)	intron (NM_079737, intron 3 of 8)	6697	NR_133438	26067407		NR_133438		CR46090	Dmel\CR46090	ncRNA	ncRNA
2R.22069695.22070141	chr2R	22069695	22070141	+	77.6926437247458	-0.635469738922587	TTS (NM_166503)	TTS (NM_166503)	1368	NM_137789	37513	Dm.23262	NM_137789		CG11475	Dmel\CG11475	uncharacterized protein	protein-coding
2L.11495436.11495785	chr2L	11495436	11495785	+	77.6833596934295	-0.368516005887208	Intergenic	(TG)n|Simple_repeat|Simple_repeat	3338	NM_135659	34571	Dm.12410	NM_135659		CG6488	Cog8|Dmel\CG6488	CG6488	protein-coding
2L.11849802.11850197	chr2L	11849802	11850197	+	77.6805333272465	0.171982430699098	promoter-TSS (NM_164975)	promoter-TSS (NM_164975)	41	NM_135679	34598	Dm.5972	NM_135679		Mal-B2	CG14935|Dmel\CG14935|Drome_B2|FBgn0032382|mal_B2	Maltase B2	protein-coding
2L.5756556.5756954	chr2L	5756556	5756954	+	77.6633339392461	-0.192590982503499	intron (NM_135112, intron 1 of 3)	intron (NM_135112, intron 1 of 3)	9387	NM_135113	33806	Dm.2325	NM_135113		obst-E	CG11142|Dmel\CG11142|Obst-E	obstructor-E	protein-coding
3R.15354081.15354418	chr3R	15354081	15354418	+	77.6472228774897	-0.367015060520359	TTS (NM_142194)	TTS (NM_142194)	2675	NM_142195	41868	Dm.2122	NM_142195		Atg4b	APG4|AUT2|Atg4|CG6194|DmAtg4-like|Dmel\CG6194|atg4	Autophagy-related 4b	protein-coding
2L.17443669.17444228	chr2L	17443669	17444228	+	77.5984465132802	-0.457207273064894	intron (NM_165217, intron 2 of 9)	(GGTCC)n|Simple_repeat|Simple_repeat	1619	NM_001299085	35047	Dm.3233	NM_165217		dl	CG6667|DL|Dl|Dmel\CG6667|Dor|Dorsal|GSd447|NFkappaB|anon-EST:GressD7|d|dL|fs(2)k10816|mat(2)dorsal	dorsal	protein-coding
2R.11506595.11506895	chr2R	11506595	11506895	+	77.5697804409097	-0.481828869165327	exon (NM_165839, exon 5 of 5)	exon (NM_165839, exon 5 of 5)	21138	NM_078976	36240	Dm.22056	NM_078976		en	153867_at|Apa|CG9015|Dmel\CG9015|EN|En|EnR|Eng|Engr|Engrailed|Engrailed/Invected|Es|V|en1|spa2|spt	engrailed	protein-coding
3R.31906475.31906688	chr3R	31906475	31906688	+	77.5463086464575	-1.28019927187001	intron (NM_001300701, intron 4 of 13)	intron (NM_001300701, intron 4 of 13)	28589	NM_001170318	48571	Dm.19417	NM_079964		heph	CG2094|CG2290|CG31000|DmPTB|Dmel\CG31000|HEPH|Heph|PTB|Ptb|dPTB|dmPTB|ema|hnRNP I|l(3)03429|l(3)j11B9|ptb	hephaestus	protein-coding
3L.12281891.12282153	chr3L	12281891	12282153	+	77.5363128004147	-0.621674792180374	TTS (NM_140309)	TTS (NM_140309)	3796	NM_001274824	39404	Dm.13620	NM_140309		INPP5E	CG10426|Dmel\CG10426|INPPE5|IPP|dInpp5e	Inositol polyphosphate 5-phosphatase E	protein-coding
3L.1219188.1219565	chr3L	1219188	1219565	+	77.5273101854912	-0.368149306109656	promoter-TSS (NM_057480)	promoter-TSS (NM_057480)	-680	NM_057480	38129	Dm.24595	NM_057480		LysP	CG9116|Dmel\CG9116|lysP	Lysozyme P	protein-coding
2L.9712931.9713575	chr2L	9712931	9713575	+	77.4700683554522	-0.848973150679714	3' UTR (NM_001273367, exon 8 of 8)	3' UTR (NM_001273367, exon 8 of 8)	-1982	NM_135461	34287	Dm.372	NM_135461		CG4364	Dmel\CG4364	CG4364	protein-coding
2R.8978586.8978891	chr2R	8978586	8978891	+	77.4697435425887	0.0482999895804802	intron (NM_001299292, intron 1 of 6)	intron (NM_001299292, intron 1 of 6)	6837	NM_001144150	35902	Dm.537	NM_136591		CG8213	Dmel\CG8213|SP44|c-SP44	CG8213	protein-coding
X.3738730.3739050	chrX	3738730	3739050	+	77.4661760851726	-0.410663852223157	intron (NM_206620, intron 1 of 7)	intron (NM_206620, intron 1 of 7)	-1007	NM_001272291	318206	Dm.7071	NM_130717		Tlk	BEST:GH17330|BcDNA:GH07910|CG12462|CG2829|CG32781|CG32782|CG33219|CG34412|Dmel\CG34412|Dmel_CG32781|Dmel_CG32782|EP(X)1408|EP(X)1413|EP1408|EP1413|GH17330|TLK|anon-WO03040301.114|anon-WO03040301.116|dtlk|l(1)G0054|tlk	Tousled-like kinase	protein-coding
2R.21116892.21117170	chr2R	21116892	21117170	+	77.4619186648698	-0.485276768075701	intron (NM_137705, intron 1 of 5)	intron (NM_137705, intron 1 of 5)	-1363	NM_137704	37399	Dm.33510	NM_137704		CG9394	Dmel\CG9394|anon-EST:Posey227	CG9394	protein-coding
2R.13026985.13027339	chr2R	13026985	13027339	+	77.4533441952911	0.537873277763086	Intergenic	Intergenic	20094	NM_001299441	36433	Dm.24504	NM_136988		CG13323	Dmel\CG13323|FBgn0033788	uncharacterized protein	protein-coding
2R.7702976.7703634	chr2R	7702976	7703634	+	77.4383078332679	0.0546190657528301	TTS (NM_001103743)	TTS (NM_001103743)	1790	NM_001103743	5740103	Dm.512	NM_001103743		CG34216	Dmel\CG34216	uncharacterized protein	protein-coding
3R.21077630.21077951	chr3R	21077630	21077951	+	77.4308579487389	-0.782717671976188	TTS (NM_079704)	TTS (NM_079704)	3136	NM_142681	42495		NM_142681		HHEX	CG7056|Dmel\CG7056|dHHEX	Hematopoietically expressed homeobox	protein-coding
2R.22905122.22905522	chr2R	22905122	22905522	+	77.4307060924219	-0.279006858087448	intron (NM_001259545, intron 2 of 11)	intron (NM_001259545, intron 2 of 11)	9148	NM_001259545	37641	Dm.4913	NM_079091		nahoda	CG12781|CT36793|Dmel\CG12781	nahoda	protein-coding
3L.3844035.3844353	chr3L	3844035	3844353	+	77.4012554481401	-0.154290470518733	Intergenic	Intergenic	-2012	NM_001274450	38451	Dm.6063	NM_079183		Awh	CG1072|Dmel\CG1072|awh|l(3)63Ea|l(3)63Ea/Awh|l(3)64Ea|l(3)SH9|l63Ea	Arrowhead	protein-coding
3R.26824179.26824568	chr3R	26824179	26824568	+	77.3983760772314	-0.785525670257143	intron (NM_170287, intron 2 of 4)	intron (NM_170287, intron 2 of 4)	19861	NR_003904	5740228	Dm.36167	NR_003904		snoRNA:Me28S-U1554	CR34689|Dmel\CR34689|Me28S-Um1554	ncRNA	ncRNA
3L.2116774.2116993	chr3L	2116774	2116993	+	77.3978352862436	-0.372545209149249	TTS (NM_001043113)	TTS (NM_001043113)	-1272	NM_001274379	44013	Dm.2974	NM_079937		sls	0020/01|CG18242|CG18245|CG18857|CG1915|CT41299|D-Titin|D-titin|Dmel\CG1915|KZ|Ket|MCP|SLS|Sls|TITIN|Titin|anon-CREST|d-titin|ket|kettin|l(3)62Ca|l(3)Ca|l(3)S002001|l(3)dre8|l(3)j1D7|l(3)rL182|sal|sam|titin	sallimus	protein-coding
2R.4235018.4235364	chr2R	4235018	4235364	+	77.3807874406226	-0.00640704335502063	TTS (NM_001042972)	TTS (NM_001042972)	7743	NM_001042972	3355010	Dm.10741	NM_001042972		IntS3	CG17665|Dmel\CG17665|IR23|Int3|NC19|NC28|l(2)IR23|l(2)NC19|l(2)NC28|l(2Rh)IR23	Integrator 3	protein-coding
2R.11830888.11831136	chr2R	11830888	11831136	+	77.3722948356151	-0.269109946864703	intron (NM_001299391, intron 2 of 3)	intron (NM_001299391, intron 2 of 3)	5667	NM_136858	36259	Dm.23912	NM_136858		CG13192	Dmel\CG13192	uncharacterized protein	protein-coding
3R.16019530.16019877	chr3R	16019530	16019877	+	77.3721091957334	-0.42672885174532	TTS (NM_142259)	TTS (NM_142259)	-6376	NM_001275692	44849	Dm.7432	NM_057337		pnr	CG3978|CG3978-PA|Dmel\CG3978|GATA|GATA4|GATAa|GATAa/Pannier|PNR|Pnr|dGATAa|dGATAa/pannier|l(3)89B3|prn	pannier	protein-coding
3R.26244030.26244392	chr3R	26244030	26244392	+	77.3717933882595	-0.294564985882585	intron (NR_133456, intron 2 of 2)	intron (NR_133456, intron 2 of 2)	2920	NR_133458	26067379		NR_133458		CR46062	Dmel\CR46062	ncRNA	ncRNA
3R.14562991.14563402	chr3R	14562991	14563402	+	77.3561555966604	0.133578887166658	TTS (NM_142115)	TTS (NM_142115)	856	NM_142115	41763	Dm.27299	NM_142115		CG14851	Dmel\CG14851	uncharacterized protein	protein-coding
2L.14186143.14186402	chr2L	14186143	14186402	+	77.3288781025207	-0.745751721810934	exon (NM_001038818, exon 10 of 10)	exon (NM_001038818, exon 10 of 10)	-5586	NM_176037	34830	Dm.12172	NM_176037		CG43333	BG:DS01523.2|CG15291|CG32972|Dmel\CG43333|Dmel_CG32972	uncharacterized protein	protein-coding
3R.15968424.15968925	chr3R	15968424	15968925	+	77.3033643771521	-0.579454905060063	TTS (NM_079648)	TTS (NM_079648)	3228	NM_079648	41941	Dm.2418	NM_079648		Rbf2	CG5083|Dmel\CG5083|RB|RBF2|RBf2|rbf2	Retinoblastoma-family protein 2	protein-coding
3L.10428575.10428739	chr3L	10428575	10428739	+	77.2740063384303	-1.1385103083705	Intergenic	CpG	3326	NM_140136	39194	Dm.15422	NM_140136		Ir67b	CG12303|DmelIR67b|Dmel\CG12303|IR67b	Ionotropic receptor 67b	protein-coding
3L.12473654.12474017	chr3L	12473654	12474017	+	77.2483192262288	-0.423141707140223	TTS (NM_001104123)	TTS (NM_001104123)	2107	NM_140319	39420	Dm.11320	NM_140319		CG10616	Dmel\CG10616	uncharacterized protein	protein-coding
3L.2161880.2162163	chr3L	2161880	2162163	+	77.1385446969059	-0.287361442228362	intron (NM_001274390, intron 1 of 9)	intron (NM_001274390, intron 1 of 9)	1842	NM_001274390	38273	Dm.18593	NM_139436		CG15822	Dmel\CG15822	uncharacterized protein	protein-coding
X.5607888.5608054	chrX	5607888	5608054	+	77.1374473102172	0.222047169681615	intron (NM_001297969, intron 2 of 2)	(CAACAA)n|Simple_repeat|Simple_repeat	6496	NM_132005	31471	Dm.35831	NM_132005		CG34435	CG15780|CG17763|Dmel\CG34435|Dmel_CG15780|Dmel_CG17763	uncharacterized protein	protein-coding
3R.5244898.5245176	chr3R	5244898	5245176	+	77.0746750445083	-0.644875887320742	intron (NM_169033, intron 1 of 5)	intron (NM_169033, intron 1 of 5)	-4302	NM_206428	2768659	Dm.7315	NM_206428		CG33293	BcDNA:GH07964|CG12163|Dmel\CG33293|NEST:bs06b05|NEST:bs07d08|NEST:bs34a01|NEST:bs35d06|bs06b05.y1|bs07d08.y1|bs34a01.y1|bs35d06.y1	uncharacterized protein	protein-coding
X.16625933.16626418	chrX	16625933	16626418	+	77.0644566876496	-0.358869763960227	exon (NM_080535, exon 11 of 11)	exon (NM_080535, exon 11 of 11)	-4586	NM_132909	32632	Dm.17373	NM_132909		CG9782	Dmel\CG9782	CG9782	protein-coding
2R.17053787.17054256	chr2R	17053787	17054256	+	76.9471842836564	-0.698121083319457	promoter-TSS (NM_058087)	promoter-TSS (NM_058087)	19	NM_058087	36919	Dm.7709	NM_058087		fat-spondin	CG6953|CT21501|Dmel\CG6953|Fat-spondin	fat-spondin	protein-coding
3L.3857757.3857988	chr3L	3857757	3857988	+	76.9313014295573	-0.187666608445069	intron (NM_001274450, intron 1 of 5)	intron (NM_001274450, intron 1 of 5)	6552	NR_124775	19835071		NR_124775		CR45379	Dmel\CR45379	ncRNA	ncRNA
3R.19177246.19177588	chr3R	19177246	19177588	+	76.899981490557	-1.44571916269691	TTS (NM_142532)	TTS (NM_142532)	417	NM_142531	42301	Dm.16716	NM_142531		CG14282	Dmel\CG14282	uncharacterized protein	protein-coding
2R.6941871.6942108	chr2R	6941871	6942108	+	76.8872596873345	-1.15916143977265	intron (NM_001201940, intron 2 of 16)	intron (NM_001201940, intron 2 of 16)	2006	NM_206041	2768717	Dm.34229	NM_206041		CheB42b	CG15241|CG33351|Dmel\CG33351	Chemosensory protein B 42b	protein-coding
2R.19984287.19984613	chr2R	19984287	19984613	+	76.8451857244591	-0.312109804607729	3' UTR (NM_137607, exon 4 of 4)	3' UTR (NM_137607, exon 4 of 4)	2340	NM_001259512	37275	Dm.4191	NM_137607		CG8654	Dmel\CG8654	CG8654	protein-coding
3L.14823425.14823695	chr3L	14823425	14823695	+	76.8308068737676	-0.463415873799023	intron (NM_206363, intron 2 of 18)	intron (NM_206363, intron 2 of 18)	18424	NM_001043141	39616		NM_206363		CG17839	17839|CT39634|Dmel\CG17839	uncharacterized protein	protein-coding
3L.16627625.16627970	chr3L	16627625	16627970	+	76.8139315615994	-1.29698447358087	exon (NM_001104153, exon 5 of 9)	exon (NM_001104153, exon 5 of 9)	-12325	NM_001275029	39858	Dm.6189	NM_079393		Mo25	CG4083|Dmel\CG4083|Dmo25|dMo25|l(3)00274|mo25	Mo25	protein-coding
3L.21095683.21096023	chr3L	21095683	21096023	+	76.7737371005118	-0.00497246600764361	intron (NM_001275206, intron 1 of 6)	intron (NM_001275206, intron 1 of 6)	4247	NM_001275206	40330	Dm.2516	NM_079469		ko	CG10573|Dmel\CG10573	knockout	protein-coding
2L.21738061.21738471	chr2L	21738061	21738471	+	76.7676574458026	-0.38363947566559	Intergenic	GTWIN_LTR|LTR|Gypsy	15457	NM_001169570	35425	Dm.484	NM_136276		step	CG11628|CG11633|CYH1|Dmel\CG11628|GPH|GRP1|GRP1/cytohesin 1|Grp1|Step|cytohesin/GRP1|l(2)SH0323|l(2)SH2 0323|l(2)k08110|stepk	steppke	protein-coding
3L.294280.294656	chr3L	294280	294656	+	76.7427446503923	-0.587346727264339	intron (NM_138182, intron 1 of 6)	intron (NM_138182, intron 1 of 6)	1776	NM_138182	38050	Dm.7922	NM_138180		RhoGEF3	CG1225|CG13881|CG13882|CG13883|CG42377|CG42378|CG43976|Dmel\CG43976|Dmel_CG1225|Dmel_CG13881|Dmel_CG13882|Dmel_CG13883|Dmel_CG42377|Dmel_CG42378|DrhoGEF3|RhoGEF|rhoGEF3	Rho guanine nucleotide exchange factor 3	protein-coding
2R.18346420.18346767	chr2R	18346420	18346767	+	76.7317040426729	-0.140469724362427	intron (NM_001169718, intron 1 of 12)	intron (NM_001169718, intron 1 of 12)	10703	NM_001274145	44027	Dm.3258	NM_079939		sbb	Bks|Brakeless|CG5580|Dmel\CG5580|GM04742|Group IIa|Sbb|bks|disc6|l(2)04440|mtv|sbb/mtv	scribbler	protein-coding
3L.10906580.10906899	chr3L	10906580	10906899	+	76.7308490474852	-0.308375254083856	Intergenic	Intergenic	-7616	NM_168426	39226	Dm.11641	NM_140164		Aps	CG6391|Dmel\CG6391|anon-WO0118547.266	Aps	protein-coding
3R.13927548.13927957	chr3R	13927548	13927957	+	76.7304489435699	-0.0517338667879103	Intergenic	Intergenic	15708	NM_142064	41698		NM_142064		Art9	CG9929|DART9|Dmel\CG9929	Arginine methyltransferase 9	protein-coding
3R.18476473.18476857	chr3R	18476473	18476857	+	76.7064086270359	-0.558800434032856	intron (NM_001170177, intron 2 of 8)	intron (NM_001170177, intron 2 of 8)	4011	NM_206514	42226	Dm.4626	NM_079673		fru	BTB-VI|BtbVI|CG14307|CG14307/CG33541|CG7688|CG7689|CG7690|CT22773|Dmel\CG14307|Dmfru|FRU|FRU-PI|Fru|cg7688|cg7689|fruC|fty|ms(3)06411|sat	fruitless	protein-coding
X.9325290.9325585	chrX	9325290	9325585	+	76.694244138626	-0.0886035273580686	TTS (NM_001272452)	TTS (NM_001272452)	5050	NM_001103453	5740775	Dm.8216	NM_001103453		CG34450	CG12136|CG32705|Dmel\CG34450|Dmel_CG32705	uncharacterized protein	protein-coding
3R.9029458.9029660	chr3R	9029458	9029660	+	76.6855800707246	-0.839283428251808	intron (NM_169255, intron 1 of 2)	intron (NM_169255, intron 1 of 2)	4172	NM_057304	41085	Dm.1114	NM_057304		neur	0328/12|0971/15|1293/09|1315/05|BEST:LD21494|CG11988|Dmel\CG11988|Neur|l(3)j6B12|l(3)j9B8|l(3)j9B9|l(3)j9C8|l(3)neo37|neu	neuralized	protein-coding
2L.20911342.20911668	chr2L	20911342	20911668	+	76.6842503405124	0.00758130491624467	intron (NM_001273722, intron 1 of 11)	intron (NM_001273722, intron 1 of 11)	5956	NM_165348	35359	Dm.2151	NM_136229		sky	CG14399|CG9339|CG9340|Dmel\CG9339|anon-WO0118547.455	skywalker	protein-coding
3L.9588555.9588844	chr3L	9588555	9588844	+	76.6323560669437	0.151193148194222	intron (NM_001202149, intron 6 of 9)	intron (NM_001202149, intron 6 of 9)	5149	NM_168353	39111	Dm.20868	NM_168352		CG42673	BcDNA:RE71517|BcDNA:RE71585|CG14178|CG17357|CG3179|CG32048|CG34272|Dm_3L:44995|Dmel\CG42673|Dmel_CG32048|Dmel_CG34272	uncharacterized protein	protein-coding
